Org,Name,Line 1,Line 2,City,State,Postal,Country,Tax ID,Tax Exempt,Phone,Email,Width,wUOM,Length,lUOM,Height,hUOM,Status
10001,STORE 1,6 Rowland Place,,Indianapolis,IN,46295,United States,10-3676443,FALSE,317-688-2266,store1@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 2,3 Sauthoff Center,,Houston,TX,77060,United States,91-9987869,FALSE,832-142-4977,store2@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 3,18593 Calypso Hill,,Chicago,IL,60641,United States,92-3926139,FALSE,773-335-0144,store3@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 4,8 Little Fleur Lane,,Austin,TX,78783,United States,02-5438115,FALSE,512-614-4970,store4@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 5,0 Tony Court,,Carol Stream,IL,60351,United States,80-2986591,FALSE,309-183-7880,store5@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 6,39 Cody Way,,Sacramento,CA,95833,United States,65-2170116,FALSE,530-680-5976,store6@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 7,20489 Independence Park,,Rockford,IL,61105,United States,39-3309840,FALSE,815-927-5333,store7@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 8,55913 Green Ridge Place,,Akron,OH,44305,United States,81-1577277,FALSE,330-496-2707,store8@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 9,3 Clove Lane,,Salt Lake City,UT,84135,United States,07-9932663,FALSE,801-957-8194,store9@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 10,59645 Schurz Parkway,,San Francisco,CA,94116,United States,69-1987461,FALSE,415-845-2013,store10@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 11,4 Hanson Court,,Pasadena,CA,91125,United States,52-2530250,FALSE,626-747-9237,store11@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 12,3 Coleman Center,,Homestead,FL,33034,United States,35-1886251,FALSE,786-594-4975,store12@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 13,9476 Oneill Avenue,,Erie,PA,16505,United States,41-9301587,FALSE,814-335-4176,store13@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 14,2 Blackbird Court,,Boston,MA,2109,United States,22-9135998,FALSE,617-966-3657,store14@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 15,0076 8th Street,,Saint Louis,MO,63180,United States,90-8710695,FALSE,314-503-1113,store15@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 16,296 Kropf Circle,,Kalamazoo,MI,49006,United States,40-4225106,FALSE,269-341-8049,store16@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 17,96 Heath Parkway,,Schenectady,NY,12325,United States,94-9505166,FALSE,518-439-9147,store17@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 18,87 Dapin Parkway,,Austin,TX,78732,United States,28-0617706,FALSE,512-465-4492,store18@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 19,893 7th Plaza,,Canton,OH,44720,United States,64-9484897,FALSE,330-647-9029,store19@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 20,0645 Rieder Alley,,San Francisco,CA,94177,United States,03-2634106,FALSE,415-486-0580,store20@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 21,96672 Anthes Point,,White Plains,NY,10633,United States,29-2107825,FALSE,845-945-1260,store21@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 22,14251 Tennyson Place,,San Jose,CA,95155,United States,45-9353020,FALSE,408-840-4217,store22@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 23,51 Mcbride Crossing,,San Jose,CA,95155,United States,99-4562666,FALSE,408-320-8409,store23@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 24,902 Warbler Court,,Albuquerque,NM,87195,United States,41-2667103,FALSE,505-251-0593,store24@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 25,79 Fairview Drive,,Saint Paul,MN,55146,United States,47-3289964,FALSE,651-496-7274,store25@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 26,11115 Butterfield Way,,Reston,VA,22096,United States,49-4040462,FALSE,571-915-7447,store26@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 27,6166 School Lane,,San Francisco,CA,94177,United States,24-3730638,FALSE,415-188-1679,store27@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 28,910 Roth Way,,Monroe,LA,71213,United States,08-9170021,FALSE,318-692-2383,store28@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 29,8310 Summit Avenue,,Spokane,WA,99205,United States,56-2834746,FALSE,509-365-8268,store29@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 30,1310 Aberg Plaza,,Columbus,OH,43284,United States,56-6401690,FALSE,614-791-4257,store30@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 31,43720 Orin Park,,Bonita Springs,FL,34135,United States,12-5388751,FALSE,941-158-3913,store31@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 32,71647 Del Sol Hill,,Los Angeles,CA,90055,United States,53-6171937,FALSE,213-833-5688,store32@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 33,2 Everett Avenue,,White Plains,NY,10633,United States,65-2984308,FALSE,914-513-1886,store33@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 34,10221 Laurel Alley,,Lynchburg,VA,24515,United States,00-9790186,FALSE,434-665-4658,store34@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 35,85395 Chinook Lane,,Orlando,FL,32830,United States,10-6025732,FALSE,407-748-9560,store35@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 36,340 Hoffman Pass,,Naples,FL,33961,United States,55-1223910,FALSE,305-235-2302,store36@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 37,59 Ruskin Street,,San Antonio,TX,78265,United States,89-8137683,FALSE,210-995-8181,store37@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 38,5111 Riverside Park,,Phoenix,AZ,85077,United States,23-0512741,FALSE,602-315-3507,store38@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 39,2 Goodland Alley,,Kansas City,MO,64144,United States,20-5566223,FALSE,816-361-6045,store39@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 40,6804 Banding Avenue,,Spring Hill,FL,34611,United States,46-9336739,FALSE,352-436-1837,store40@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 41,23 Namekagon Parkway,,Dallas,TX,75236,United States,63-8228128,FALSE,469-670-6566,store41@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 42,211 Marquette Crossing,,Beaverton,OR,97075,United States,89-8614008,FALSE,503-221-6428,store42@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 43,3888 4th Center,,Arlington,VA,22244,United States,81-1101794,FALSE,571-472-1048,store43@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 44,3 Del Sol Center,,Tacoma,WA,98424,United States,99-8305422,FALSE,253-918-0740,store44@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 45,63312 Russell Place,,Bridgeport,CT,6673,United States,46-6687472,FALSE,203-838-4838,store45@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 46,2150 Canary Place,,Los Angeles,CA,90189,United States,46-4410373,FALSE,213-751-5716,store46@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 47,3081 Rigney Road,,Nashville,TN,37220,United States,50-0800580,FALSE,615-220-5356,store47@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 48,8109 Calypso Circle,,Seattle,WA,98115,United States,02-1241524,FALSE,425-723-4788,store48@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 49,1296 Eastwood Plaza,,Palo Alto,CA,94302,United States,87-9145355,FALSE,650-539-4442,store49@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 50,78764 Buell Park,,Washington,DC,20425,United States,86-5040593,FALSE,202-400-2075,store50@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 51,519 Raven Terrace,,Los Angeles,CA,90071,United States,94-0073209,FALSE,310-585-8374,store51@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 52,8042 Rowland Crossing,,Greenville,SC,29605,United States,93-6555702,FALSE,864-492-1501,store52@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
10001,STORE 53,88 Vera Parkway,,Young America,MN,55551,United States,74-6218455,FALSE,952-643-8037,store53@cincymarkets.com,0,FT,0,FT,0,FT,ACTIVE
